"","code","description","selectionOnly","type","startDate","endDate"
"1","535","Bonaire/S.Eustatius/Saba",FALSE,"country",NA,NA
"2","736","Sudan (former)",FALSE,"country",NA,NA
"3","728","South Sudan",FALSE,"country",NA,NA
"4","663","Saint-Martin",FALSE,"country",NA,NA
"5","652","Saint Barthélemy",FALSE,"country",NA,NA
"6","896","Other nei",FALSE,"country",NA,NA
"7","832","Jersey",FALSE,"country",NA,NA
"8","831","Guernsey",FALSE,"country",NA,NA
"9","381","Italy",FALSE,"country",NA,NA
"10","0000","Sudan (former)",FALSE,"synthetic",NA,NA
"11","248","Åland Islands",FALSE,"country",NA,NA
"12","835","Zanzibar",FALSE,"country",NA,NA
"13","239","SouthGeorgia/Sandwich Is",FALSE,"country",NA,NA
"14","412","Kosovo",FALSE,"country",NA,NA
"15","716","Zimbabwe",FALSE,"country",NA,NA
"16","894","Zambia",FALSE,"country",NA,NA
"17","890","Yugoslav SFR(-1991)",FALSE,"country",NA,NA
"18","987","Yugo F Area(1992-)",FALSE,"group",NA,NA
"19","720","Yemen Dem",FALSE,"country",NA,NA
"20","886","Yemen Ar Rp",FALSE,"country",NA,NA
"21","887","Yemen",FALSE,"country",NA,NA
"22","1133","Wrld Oth EAA",FALSE,"group",NA,NA
"23","1058","World (Fmr)",FALSE,"group",NA,NA
"24","1099","World (Fmr)",FALSE,"group",NA,NA
"25","1035","World,EAA",FALSE,"group",NA,NA
"26","1198","World AT2030",FALSE,"group",NA,NA
"27","936","World",FALSE,"group",NA,NA
"28","1117","World",FALSE,"group",NA,NA
"29","1110","World",FALSE,"group",NA,NA
"30","996","World",FALSE,"group",NA,NA
"31","1","World",FALSE,"group",NA,NA
"32","953","World",FALSE,"group",NA,NA
"33","0","wildcard",FALSE,"synthetic",NA,NA
"34","904","W Europe",FALSE,"group",NA,NA
"35","732","Westn Sahara",FALSE,"country",NA,NA
"36","402","West Bank(-1995)",FALSE,"country",NA,NA
"37","909","West Africa",FALSE,"group",NA,NA
"38","876","Wallis and Futuna Islands",FALSE,"country",NA,NA
"39","872","Wake Is",FALSE,"country",NA,NA
"40","1111","WAEMU",FALSE,"group",NA,NA
"41","704","Viet Nam",FALSE,"country",NA,NA
"42","862","Venezuela (Bolivarian Republic of)",FALSE,"country",NA,NA
"43","548","Vanuatu",FALSE,"country",NA,NA
"44","860","Uzbekistan",FALSE,"country",NA,NA
"45","850","US Virgin Is",FALSE,"country",NA,NA
"46","1107","USSR F Area(1992-)",FALSE,"group",NA,NA
"47","939","USSR Europe",FALSE,"group",NA,NA
"48","941","USSR Asia",FALSE,"group",NA,NA
"49","810","USSR(-1991)",FALSE,"country",NA,NA
"50","581","US Minor Is",FALSE,"country",NA,NA
"51","858","Uruguay",FALSE,"country",NA,NA
"52","840","United States of America",FALSE,"country",NA,NA
"53","834","United Republic of Tanzania",FALSE,"country",NA,NA
"54","826","United Kingdom",FALSE,"country",NA,NA
"55","784","United Arab Emirates",FALSE,"country",NA,NA
"56","804","Ukraine",FALSE,"country",NA,NA
"57","800","Uganda",FALSE,"country",NA,NA
"58","798","Tuvalu",FALSE,"country",NA,NA
"59","796","Turks and Caicos Islands",FALSE,"country",NA,NA
"60","795","Turkmenistan",FALSE,"country",NA,NA
"61","792","Turkey",FALSE,"country",NA,NA
"62","788","Tunisia",FALSE,"country",NA,NA
"63","780","Trinidad and Tobago",FALSE,"country",NA,NA
"64","928","Transition M",FALSE,"group",NA,NA
"65","776","Tonga",FALSE,"country",NA,NA
"66","772","Tokelau",FALSE,"country",NA,NA
"67","768","Togo",FALSE,"country",NA,NA
"68","1083","TINCPD",FALSE,"group",NA,NA
"69","626","Timor-Leste",FALSE,"country",NA,NA
"70","764","Thailand",FALSE,"country",NA,NA
"71","807","The former Yugoslav Republic of Macedonia",FALSE,"country",NA,NA
"72","762","Tajikistan",FALSE,"country",NA,NA
"73","760","Syrian Arab Republic",FALSE,"country",NA,NA
"74","902","SW Pac (FAO)",FALSE,"group",NA,NA
"75","756","Switzerland",FALSE,"country",NA,NA
"76","752","Sweden",FALSE,"country",NA,NA
"77","748","Swaziland",FALSE,"country",NA,NA
"78","744","Svalbard Is",FALSE,"country",NA,NA
"79","740","Suriname",FALSE,"country",NA,NA
"80","729","Sudan",FALSE,"country",NA,NA
"81","1165","SubSa(LIFDC)",FALSE,"group",NA,NA
"82","958","Sub-Sahara",FALSE,"group",NA,NA
"83","1167","SubSa(EHDAX)",FALSE,"group",NA,NA
"84","1067","SUB GROUP",FALSE,"group",NA,NA
"85","1071","SUATLA",FALSE,"group",NA,NA
"86","1087","SUATCLP",FALSE,"group",NA,NA
"87","1178","SUAPLTS(1961-)",FALSE,"group",NA,NA
"88","1177","SUAPLTI(1961-)",FALSE,"group",NA,NA
"89","1190","SUAPLS",FALSE,"group",NA,NA
"90","1086","SUAPLP",FALSE,"group",NA,NA
"91","1179","SUAPLD",FALSE,"group",NA,NA
"92","1084","SUAPCP",FALSE,"group",NA,NA
"93","1085","SUAPCD",FALSE,"group",NA,NA
"94","1070","SUAP",FALSE,"group",NA,NA
"95","1074","SUAFP",FALSE,"group",NA,NA
"96","1072","SUAFP",FALSE,"group",NA,NA
"97","1075","SUAFD",FALSE,"group",NA,NA
"98","1073","SUAFD",FALSE,"group",NA,NA
"99","1108","SSahara&SAfr",FALSE,"group",NA,NA
"100","144","Sri Lanka",FALSE,"country",NA,NA
"101","1152","SPF Dvng",FALSE,"group",NA,NA
"102","1146","SPF",FALSE,"group",NA,NA
"103","1188","SPEC",FALSE,"group",NA,NA
"104","1154","SPC Dvng&RsF",FALSE,"group",NA,NA
"105","992","SPC",FALSE,"group",NA,NA
"106","724","Spain",FALSE,"country",NA,NA
"107","920","South Asia",FALSE,"group",NA,NA
"108","915","SouthAmerica",FALSE,"group",NA,NA
"109","710","South Africa",FALSE,"country",NA,NA
"110","706","Somalia",FALSE,"country",NA,NA
"111","90","Solomon Islands",FALSE,"country",NA,NA
"112","1173","SNEA",FALSE,"group",NA,NA
"113","705","Slovenia",FALSE,"country",NA,NA
"114","703","Slovakia",FALSE,"country",NA,NA
"115","1172","SLAC",FALSE,"group",NA,NA
"116","702","Singapore",FALSE,"country",NA,NA
"117","694","Sierra Leone",FALSE,"country",NA,NA
"118","690","Seychelles",FALSE,"country",NA,NA
"119","1171","SEUR",FALSE,"group",NA,NA
"120","891","Serbia-Monte(1992-2005)",FALSE,"country",NA,NA
"121","688","Serbia",FALSE,"country",NA,NA
"122","686","Senegal",FALSE,"country",NA,NA
"123","682","Saudi Arabia",FALSE,"country",NA,NA
"124","1170","SAPA",FALSE,"group",NA,NA
"125","678","Sao Tome and Principe",FALSE,"country",NA,NA
"126","674","San Marino",FALSE,"country",NA,NA
"127","882","Samoa",FALSE,"country",NA,NA
"128","670","Saint Vincent and the Grenadines",FALSE,"country",NA,NA
"129","666","Saint Pierre and Miquelon",FALSE,"country",NA,NA
"130","662","Saint Lucia",FALSE,"country",NA,NA
"131","659","Saint Kitts and Nevis",FALSE,"country",NA,NA
"132","654","Saint Helena, Ascension and Tristan da Cunha",FALSE,"country",NA,NA
"133","1092","SAfrica Dvng",FALSE,"group",NA,NA
"134","1169","SAFR",FALSE,"group",NA,NA
"135","983","SADC",FALSE,"group",NA,NA
"136","967","SAARC",FALSE,"group",NA,NA
"137","646","Rwanda",FALSE,"country",NA,NA
"138","643","Russian Federation",FALSE,"country",NA,NA
"139","642","Romania",FALSE,"country",NA,NA
"140","946","RNE",FALSE,"group",NA,NA
"141","973","RLC",FALSE,"group",NA,NA
"142","638","Réunion",FALSE,"country",NA,NA
"143","974","REU",FALSE,"group",NA,NA
"144","498","Republic of Moldova",FALSE,"country",NA,NA
"145","410","Republic of Korea",FALSE,"country",NA,NA
"146","945","RAP",FALSE,"group",NA,NA
"147","1054","RAP",FALSE,"group",NA,NA
"148","972","RAF",FALSE,"group",NA,NA
"149","634","Qatar",FALSE,"country",NA,NA
"150","630","Puerto Rico",FALSE,"country",NA,NA
"151","1136","ProdPricesLP(1961-)",FALSE,"group",NA,NA
"152","1192","ProdPricesCP(1961-)",FALSE,"group",NA,NA
"153","620","Portugal",FALSE,"country",NA,NA
"154","616","Poland",FALSE,"country",NA,NA
"155","612","Pitcairn Is",FALSE,"country",NA,NA
"156","1081","PINCP",FALSE,"group",NA,NA
"157","608","Philippines",FALSE,"country",NA,NA
"158","604","Peru",FALSE,"country",NA,NA
"159","1153","PECC Dvng",FALSE,"group",NA,NA
"160","1149","PECC",FALSE,"group",NA,NA
"161","600","Paraguay",FALSE,"country",NA,NA
"162","598","Papua New Guinea",FALSE,"country",NA,NA
"163","591","Panama",FALSE,"country",NA,NA
"164","275","Palestine(1996-)",FALSE,"country",NA,NA
"165","585","Palau",FALSE,"country",NA,NA
"166","586","Pakistan",FALSE,"country",NA,NA
"167","582","Pacific Is",FALSE,"country",NA,NA
"168","1050","Oth,Oceania",FALSE,"group",NA,NA
"169","1103","OPEC",FALSE,"group",NA,NA
"170","512","Oman",FALSE,"country",NA,NA
"171","975","OIC",FALSE,"group",NA,NA
"172","985","OECS",FALSE,"group",NA,NA
"173","937","OECD",FALSE,"group",NA,NA
"174","1140","Oceania Unal",FALSE,"group",NA,NA
"175","1048","Oceania,EAA",FALSE,"group",NA,NA
"176","1131","Oceania EAA",FALSE,"group",NA,NA
"177","906","Oceania Dvpd",FALSE,"group",NA,NA
"178","924","Oceania Dvng",FALSE,"group",NA,NA
"179","934","Oceania",FALSE,"group",NA,NA
"180","1145","OAU",FALSE,"group",NA,NA
"181","976","OAPEC",FALSE,"group",NA,NA
"182","908","N W Africa",FALSE,"group",NA,NA
"183","578","Norway",FALSE,"country",NA,NA
"184","1125","NorthAmerica",FALSE,"group",NA,NA
"185","1101","North Africa",FALSE,"group",NA,NA
"186","574","Norfolk Is",FALSE,"country",NA,NA
"187","580","N Marianas",FALSE,"country",NA,NA
"188","570","Niue",FALSE,"country",NA,NA
"189","566","Nigeria",FALSE,"country",NA,NA
"190","562","Niger",FALSE,"country",NA,NA
"191","558","Nicaragua",FALSE,"country",NA,NA
"192","1174","NFIDC",FALSE,"group",NA,NA
"193","554","New Zealand",FALSE,"country",NA,NA
"194","540","New Caledonia",FALSE,"country",NA,NA
"195","536","Neutral Zone",FALSE,"group",NA,NA
"196","528","Netherlands",FALSE,"country",NA,NA
"197","530","NethAntilles",FALSE,"country",NA,NA
"198","524","Nepal",FALSE,"country",NA,NA
"199","1195","NE&NA(LIFDC)",FALSE,"group",NA,NA
"200","922","N East&N Afr",FALSE,"group",NA,NA
"201","918","N East Asia",FALSE,"group",NA,NA
"202","917","N East Afr",FALSE,"group",NA,NA
"203","947","NearEast FAO",FALSE,"group",NA,NA
"204","1032","Near East",FALSE,"group",NA,NA
"205","916","Near East",FALSE,"group",NA,NA
"206","1120","NearEAsia(Ot",FALSE,"group",NA,NA
"207","931","N C America",FALSE,"group",NA,NA
"208","520","Nauru",FALSE,"country",NA,NA
"209","516","Namibia",FALSE,"country",NA,NA
"210","1090","N Amer (FAO)",FALSE,"group",NA,NA
"211","903","N Amer Dvpd",FALSE,"group",NA,NA
"212","923","N Amer Dvng",FALSE,"group",NA,NA
"213","926","NAFTA",FALSE,"group",NA,NA
"214","104","Myanmar",FALSE,"country",NA,NA
"215","508","Mozambique",FALSE,"country",NA,NA
"216","504","Morocco",FALSE,"country",NA,NA
"217","500","Montserrat",FALSE,"country",NA,NA
"218","499","Montenegro",FALSE,"country",NA,NA
"219","496","Mongolia",FALSE,"country",NA,NA
"220","492","Monaco",FALSE,"country",NA,NA
"221","488","Midway Is",FALSE,"country",NA,NA
"222","583","Micronesia (Federated States of)",FALSE,"country",NA,NA
"223","484","Mexico",FALSE,"country",NA,NA
"224","1143","MERCOSUR",FALSE,"group",NA,NA
"225","175","Mayotte",FALSE,"country",NA,NA
"226","480","Mauritius",FALSE,"country",NA,NA
"227","478","Mauritania",FALSE,"country",NA,NA
"228","474","Martinique",FALSE,"country",NA,NA
"229","584","Marshall Islands",FALSE,"country",NA,NA
"230","470","Malta",FALSE,"country",NA,NA
"231","466","Mali",FALSE,"country",NA,NA
"232","462","Maldives",FALSE,"country",NA,NA
"233","458","Malaysia",FALSE,"country",NA,NA
"234","454","Malawi",FALSE,"country",NA,NA
"235","450","Madagascar",FALSE,"country",NA,NA
"236","442","Luxembourg",FALSE,"country",NA,NA
"237","1080","LUIP",FALSE,"group",NA,NA
"238","1077","LUIM",FALSE,"group",NA,NA
"239","1078","LUILU",FALSE,"group",NA,NA
"240","1079","LUII",FALSE,"group",NA,NA
"241","1189","LUIF",FALSE,"group",NA,NA
"242","966","Low-Income",FALSE,"group",NA,NA
"243","994","Low-Income",FALSE,"group",NA,NA
"244","1106","LOWA",FALSE,"group",NA,NA
"245","440","Lithuania",FALSE,"country",NA,NA
"246","1168","LIFDCs(SOFA)",FALSE,"group",NA,NA
"247","1059","LIFDCs",FALSE,"group",NA,NA
"248","957","LIFDCs",FALSE,"group",NA,NA
"249","438","Liechtenstein",FALSE,"country",NA,NA
"250","434","Libya",FALSE,"country",NA,NA
"251","430","Liberia",FALSE,"country",NA,NA
"252","426","Lesotho",FALSE,"country",NA,NA
"253","422","Lebanon",FALSE,"country",NA,NA
"254","1051","LDC's EAA",FALSE,"group",NA,NA
"255","428","Latvia",FALSE,"country",NA,NA
"256","943","LatinAmerica",FALSE,"group",NA,NA
"257","912","LatAmer&Car",FALSE,"group",NA,NA
"258","1091","LatAmCar FAO",FALSE,"group",NA,NA
"259","1098","LAS",FALSE,"group",NA,NA
"260","418","Lao People's Democratic Republic",FALSE,"country",NA,NA
"261","1047","LAmerica,EAA",FALSE,"group",NA,NA
"262","984","LAIA",FALSE,"group",NA,NA
"263","959","LAES",FALSE,"group",NA,NA
"264","1164","LA&C (LIFDC)",FALSE,"group",NA,NA
"265","1102","LA&C (EHDAX)",FALSE,"group",NA,NA
"266","417","Kyrgyzstan",FALSE,"country",NA,NA
"267","414","Kuwait",FALSE,"country",NA,NA
"268","296","Kiribati",FALSE,"country",NA,NA
"269","404","Kenya",FALSE,"country",NA,NA
"270","398","Kazakhstan",FALSE,"country",NA,NA
"271","400","Jordan",FALSE,"country",NA,NA
"272","396","Johnston Is",FALSE,"country",NA,NA
"273","392","Japan",FALSE,"country",NA,NA
"274","388","Jamaica",FALSE,"country",NA,NA
"275","380","Italy",FALSE,"country",NA,NA
"276","376","Israel",FALSE,"country",NA,NA
"277","833","Isle of Man",FALSE,"country",NA,NA
"278","372","Ireland",FALSE,"country",NA,NA
"279","368","Iraq",FALSE,"country",NA,NA
"280","364","Iran (Islamic Republic of)",FALSE,"country",NA,NA
"281","1155","IORARCDng&SA",FALSE,"group",NA,NA
"282","1151","IORARC",FALSE,"group",NA,NA
"283","927","Industrial",FALSE,"group",NA,NA
"284","360","Indonesia",FALSE,"country",NA,NA
"285","356","India",FALSE,"country",NA,NA
"286","1196","IGAG",FALSE,"group",NA,NA
"287","1144","IGAD",FALSE,"group",NA,NA
"288","352","Iceland",FALSE,"country",NA,NA
"289","348","Hungary",FALSE,"country",NA,NA
"290","340","Honduras",FALSE,"country",NA,NA
"291","336","Holy See",FALSE,"country",NA,NA
"292","334","Heard Is",FALSE,"country",NA,NA
"293","332","Haiti",FALSE,"country",NA,NA
"294","328","Guyana",FALSE,"country",NA,NA
"295","624","Guinea-Bissau",FALSE,"country",NA,NA
"296","324","Guinea",FALSE,"country",NA,NA
"297","320","Guatemala",FALSE,"country",NA,NA
"298","316","Guam",FALSE,"country",NA,NA
"299","312","Guadeloupe",FALSE,"country",NA,NA
"300","308","Grenada",FALSE,"country",NA,NA
"301","304","Greenland",FALSE,"country",NA,NA
"302","300","Greece",FALSE,"country",NA,NA
"303","292","Gibraltar",FALSE,"country",NA,NA
