"code","description","selectionOnly","type","startDate","endDate"
"1517","Middle-income countries",FALSE,NA,NA,NA
"876","Wallis and Futuna Islands",FALSE,NA,NA,NA
"798","Tuvalu",FALSE,NA,NA,NA
"776","Tonga",FALSE,NA,NA,NA
"772","Tokelau",FALSE,NA,NA,NA
"882","Samoa",FALSE,NA,NA,NA
"570","Niue",FALSE,NA,NA,NA
"258","French Polynesia",FALSE,NA,NA,NA
"184","Cook Islands",FALSE,NA,NA,NA
"16","American Samoa",FALSE,NA,NA,NA
"957","Polynesia",FALSE,NA,NA,NA
"585","Palau",FALSE,NA,NA,NA
"580","Northern Mariana Islands",FALSE,NA,NA,NA
"520","Nauru",FALSE,NA,NA,NA
"583","Micronesia (Fed. States of)",FALSE,NA,NA,NA
"584","Marshall Islands",FALSE,NA,NA,NA
"296","Kiribati",FALSE,NA,NA,NA
"316","Guam",FALSE,NA,NA,NA
"954","Micronesia",FALSE,NA,NA,NA
"548","Vanuatu",FALSE,NA,NA,NA
"90","Solomon Islands",FALSE,NA,NA,NA
"598","Papua New Guinea",FALSE,NA,NA,NA
"540","New Caledonia",FALSE,NA,NA,NA
"242","Fiji",FALSE,NA,NA,NA
"928","Melanesia",FALSE,NA,NA,NA
"554","New Zealand",FALSE,NA,NA,NA
"36","Australia",FALSE,NA,NA,NA
"927","Australia/New Zealand",FALSE,NA,NA,NA
"909","OCEANIA",FALSE,NA,NA,NA
"840","United States of America",FALSE,NA,NA,NA
"666","Saint Pierre and Miquelon",FALSE,NA,NA,NA
"304","Greenland",FALSE,NA,NA,NA
"124","Canada",FALSE,NA,NA,NA
"60","Bermuda",FALSE,NA,NA,NA
"905","NORTHERN AMERICA",FALSE,NA,NA,NA
"862","Venezuela (Bolivarian Republic of)",FALSE,NA,NA,NA
"858","Uruguay",FALSE,NA,NA,NA
"740","Suriname",FALSE,NA,NA,NA
"604","Peru",FALSE,NA,NA,NA
"600","Paraguay",FALSE,NA,NA,NA
"328","Guyana",FALSE,NA,NA,NA
"254","French Guiana",FALSE,NA,NA,NA
"238","Falkland Islands (Malvinas)",FALSE,NA,NA,NA
"218","Ecuador",FALSE,NA,NA,NA
"170","Colombia",FALSE,NA,NA,NA
"152","Chile",FALSE,NA,NA,NA
"76","Brazil",FALSE,NA,NA,NA
"68","Bolivia (Plurinational State of)",FALSE,NA,NA,NA
"32","Argentina",FALSE,NA,NA,NA
"931","South America",FALSE,NA,NA,NA
"591","Panama",FALSE,NA,NA,NA
"558","Nicaragua",FALSE,NA,NA,NA
"484","Mexico",FALSE,NA,NA,NA
"340","Honduras",FALSE,NA,NA,NA
"320","Guatemala",FALSE,NA,NA,NA
"222","El Salvador",FALSE,NA,NA,NA
"188","Costa Rica",FALSE,NA,NA,NA
"84","Belize",FALSE,NA,NA,NA
"916","Central America",FALSE,NA,NA,NA
"850","United States Virgin Islands",FALSE,NA,NA,NA
"796","Turks and Caicos Islands",FALSE,NA,NA,NA
"780","Trinidad and Tobago",FALSE,NA,NA,NA
"670","Saint Vincent and the Grenadines",FALSE,NA,NA,NA
"662","Saint Lucia",FALSE,NA,NA,NA
"659","Saint Kitts and Nevis",FALSE,NA,NA,NA
"630","Puerto Rico",FALSE,NA,NA,NA
"531","Curaçao",FALSE,NA,NA,NA
"535","Caribbean Netherlands",FALSE,NA,NA,NA
"534","Sint Maarten (Dutch part)",FALSE,NA,NA,NA
"500","Montserrat",FALSE,NA,NA,NA
"474","Martinique",FALSE,NA,NA,NA
"388","Jamaica",FALSE,NA,NA,NA
"332","Haiti",FALSE,NA,NA,NA
"312","Guadeloupe",FALSE,NA,NA,NA
"308","Grenada",FALSE,NA,NA,NA
"214","Dominican Republic",FALSE,NA,NA,NA
"212","Dominica",FALSE,NA,NA,NA
"192","Cuba",FALSE,NA,NA,NA
"136","Cayman Islands",FALSE,NA,NA,NA
"92","British Virgin Islands",FALSE,NA,NA,NA
"52","Barbados",FALSE,NA,NA,NA
"44","Bahamas",FALSE,NA,NA,NA
"533","Aruba",FALSE,NA,NA,NA
"28","Antigua and Barbuda",FALSE,NA,NA,NA
"660","Anguilla",FALSE,NA,NA,NA
"915","Caribbean",FALSE,NA,NA,NA
"904","LATIN AMERICA AND THE CARIBBEAN",FALSE,NA,NA,NA
"756","Switzerland",FALSE,NA,NA,NA
"528","Netherlands",FALSE,NA,NA,NA
"492","Monaco",FALSE,NA,NA,NA
"442","Luxembourg",FALSE,NA,NA,NA
"438","Liechtenstein",FALSE,NA,NA,NA
"276","Germany",FALSE,NA,NA,NA
"250","France",FALSE,NA,NA,NA
"56","Belgium",FALSE,NA,NA,NA
"40","Austria",FALSE,NA,NA,NA
"926","Western Europe",FALSE,NA,NA,NA
"807","TFYR Macedonia",FALSE,NA,NA,NA
"724","Spain",FALSE,NA,NA,NA
"705","Slovenia",FALSE,NA,NA,NA
"688","Serbia",FALSE,NA,NA,NA
"674","San Marino",FALSE,NA,NA,NA
"620","Portugal",FALSE,NA,NA,NA
"499","Montenegro",FALSE,NA,NA,NA
"470","Malta",FALSE,NA,NA,NA
"380","Italy",FALSE,NA,NA,NA
"336","Holy See",FALSE,NA,NA,NA
"300","Greece",FALSE,NA,NA,NA
"292","Gibraltar",FALSE,NA,NA,NA
"191","Croatia",FALSE,NA,NA,NA
"70","Bosnia and Herzegovina",FALSE,NA,NA,NA
"20","Andorra",FALSE,NA,NA,NA
"8","Albania",FALSE,NA,NA,NA
"925","Southern Europe",FALSE,NA,NA,NA
"826","United Kingdom",FALSE,NA,NA,NA
"752","Sweden",FALSE,NA,NA,NA
"578","Norway",FALSE,NA,NA,NA
"440","Lithuania",FALSE,NA,NA,NA
"428","Latvia",FALSE,NA,NA,NA
"833","Isle of Man",FALSE,NA,NA,NA
"372","Ireland",FALSE,NA,NA,NA
"352","Iceland",FALSE,NA,NA,NA
"246","Finland",FALSE,NA,NA,NA
"234","Faroe Islands",FALSE,NA,NA,NA
"233","Estonia",FALSE,NA,NA,NA
"208","Denmark",FALSE,NA,NA,NA
"830","Channel Islands",FALSE,NA,NA,NA
"924","Northern Europe",FALSE,NA,NA,NA
"804","Ukraine",FALSE,NA,NA,NA
"703","Slovakia",FALSE,NA,NA,NA
"643","Russian Federation",FALSE,NA,NA,NA
"642","Romania",FALSE,NA,NA,NA
"498","Republic of Moldova",FALSE,NA,NA,NA
"616","Poland",FALSE,NA,NA,NA
"348","Hungary",FALSE,NA,NA,NA
"203","Czech Republic",FALSE,NA,NA,NA
"100","Bulgaria",FALSE,NA,NA,NA
"112","Belarus",FALSE,NA,NA,NA
"923","Eastern Europe",FALSE,NA,NA,NA
"908","EUROPE",FALSE,NA,NA,NA
"887","Yemen",FALSE,NA,NA,NA
"784","United Arab Emirates",FALSE,NA,NA,NA
"792","Turkey",FALSE,NA,NA,NA
"760","Syrian Arab Republic",FALSE,NA,NA,NA
"682","Saudi Arabia",FALSE,NA,NA,NA
"634","Qatar",FALSE,NA,NA,NA
"512","Oman",FALSE,NA,NA,NA
"275","State of Palestine",FALSE,NA,NA,NA
"422","Lebanon",FALSE,NA,NA,NA
"414","Kuwait",FALSE,NA,NA,NA
"400","Jordan",FALSE,NA,NA,NA
"376","Israel",FALSE,NA,NA,NA
"368","Iraq",FALSE,NA,NA,NA
"268","Georgia",FALSE,NA,NA,NA
"196","Cyprus",FALSE,NA,NA,NA
"48","Bahrain",FALSE,NA,NA,NA
"31","Azerbaijan",FALSE,NA,NA,NA
"51","Armenia",FALSE,NA,NA,NA
"922","Western Asia",FALSE,NA,NA,NA
"704","Viet Nam",FALSE,NA,NA,NA
"626","Timor-Leste",FALSE,NA,NA,NA
"764","Thailand",FALSE,NA,NA,NA
"702","Singapore",FALSE,NA,NA,NA
"608","Philippines",FALSE,NA,NA,NA
"104","Myanmar",FALSE,NA,NA,NA
"458","Malaysia",FALSE,NA,NA,NA
"418","Lao People's Democratic Republic",FALSE,NA,NA,NA
"360","Indonesia",FALSE,NA,NA,NA
"116","Cambodia",FALSE,NA,NA,NA
"96","Brunei Darussalam",FALSE,NA,NA,NA
"920","South-Eastern Asia",FALSE,NA,NA,NA
"144","Sri Lanka",FALSE,NA,NA,NA
"586","Pakistan",FALSE,NA,NA,NA
"524","Nepal",FALSE,NA,NA,NA
"462","Maldives",FALSE,NA,NA,NA
"364","Iran (Islamic Republic of)",FALSE,NA,NA,NA
"356","India",FALSE,NA,NA,NA
"64","Bhutan",FALSE,NA,NA,NA
"50","Bangladesh",FALSE,NA,NA,NA
"4","Afghanistan",FALSE,NA,NA,NA
"5501","Southern Asia",FALSE,NA,NA,NA
"860","Uzbekistan",FALSE,NA,NA,NA
"795","Turkmenistan",FALSE,NA,NA,NA
"762","Tajikistan",FALSE,NA,NA,NA
"417","Kyrgyzstan",FALSE,NA,NA,NA
"398","Kazakhstan",FALSE,NA,NA,NA
"5500","Central Asia",FALSE,NA,NA,NA
"921","South-Central Asia",FALSE,NA,NA,NA
"158","Other non-specified areas",FALSE,NA,NA,NA
"410","Republic of Korea",FALSE,NA,NA,NA
"496","Mongolia",FALSE,NA,NA,NA
"392","Japan",FALSE,NA,NA,NA
"408","Dem. People's Republic of Korea",FALSE,NA,NA,NA
"446","China, Macao SAR",FALSE,NA,NA,NA
"344","China, Hong Kong SAR",FALSE,NA,NA,NA
"156","China",FALSE,NA,NA,NA
"906","Eastern Asia",FALSE,NA,NA,NA
"935","ASIA",FALSE,NA,NA,NA
"768","Togo",FALSE,NA,NA,NA
"694","Sierra Leone",FALSE,NA,NA,NA
"686","Senegal",FALSE,NA,NA,NA
"654","Saint Helena",FALSE,NA,NA,NA
"566","Nigeria",FALSE,NA,NA,NA
"562","Niger",FALSE,NA,NA,NA
"478","Mauritania",FALSE,NA,NA,NA
"466","Mali",FALSE,NA,NA,NA
"430","Liberia",FALSE,NA,NA,NA
"624","Guinea-Bissau",FALSE,NA,NA,NA
"324","Guinea",FALSE,NA,NA,NA
"288","Ghana",FALSE,NA,NA,NA
"270","Gambia",FALSE,NA,NA,NA
"384","Côte d'Ivoire",FALSE,NA,NA,NA
"132","Cabo Verde",FALSE,NA,NA,NA
"854","Burkina Faso",FALSE,NA,NA,NA
"204","Benin",FALSE,NA,NA,NA
"914","Western Africa",FALSE,NA,NA,NA
"748","Swaziland",FALSE,NA,NA,NA
"710","South Africa",FALSE,NA,NA,NA
"516","Namibia",FALSE,NA,NA,NA
"426","Lesotho",FALSE,NA,NA,NA
"72","Botswana",FALSE,NA,NA,NA
"913","Southern Africa",FALSE,NA,NA,NA
"732","Western Sahara",FALSE,NA,NA,NA
"788","Tunisia",FALSE,NA,NA,NA
"729","Sudan",FALSE,NA,NA,NA
"504","Morocco",FALSE,NA,NA,NA
"434","Libya",FALSE,NA,NA,NA
"818","Egypt",FALSE,NA,NA,NA
"12","Algeria",FALSE,NA,NA,NA
"912","Northern Africa",FALSE,NA,NA,NA
"678","Sao Tome and Principe",FALSE,NA,NA,NA
"266","Gabon",FALSE,NA,NA,NA
"226","Equatorial Guinea",FALSE,NA,NA,NA
"180","Democratic Republic of the Congo",FALSE,NA,NA,NA
"178","Congo",FALSE,NA,NA,NA
"148","Chad",FALSE,NA,NA,NA
"140","Central African Republic",FALSE,NA,NA,NA
"120","Cameroon",FALSE,NA,NA,NA
"24","Angola",FALSE,NA,NA,NA
"911","Middle Africa",FALSE,NA,NA,NA
"716","Zimbabwe",FALSE,NA,NA,NA
"894","Zambia",FALSE,NA,NA,NA
"834","United Republic of Tanzania",FALSE,NA,NA,NA
"800","Uganda",FALSE,NA,NA,NA
"728","South Sudan",FALSE,NA,NA,NA
"706","Somalia",FALSE,NA,NA,NA
"690","Seychelles",FALSE,NA,NA,NA
"646","Rwanda",FALSE,NA,NA,NA
"638","Réunion",FALSE,NA,NA,NA
"508","Mozambique",FALSE,NA,NA,NA
"175","Mayotte",FALSE,NA,NA,NA
"480","Mauritius",FALSE,NA,NA,NA
"454","Malawi",FALSE,NA,NA,NA
